character,title,time
Mr. Sutherland,Mr. Robot,8.5
Romero,Mr. Robot,18.5
Agent Santiago,Mr. Robot,8.5
Shayla,Mr. Robot,17.75
Elliot&#x27;s Mother,Mr. Robot,13
Scott Knowles,Mr. Robot,17.25
Krista Gordon,Mr. Robot,14.25
Elliot Alderson,Mr. Robot,377.25
Ollie Parker,Mr. Robot,17.75
Joanna Wellick,Mr. Robot,41
Trenton,Mr. Robot,25.25
Antara Nayar,Mr. Robot,9.75
Whiterose,Mr. Robot,21.75
Mobley,Mr. Robot,37.25
Dominique &#x27;Dom&#x27; Dipierro,Mr. Robot,55.5
Terry Colby,Mr. Robot,11.5
Angela Moss,Mr. Robot,143.75
Cisco,Mr. Robot,28.5
Fernando Vera,Mr. Robot,11.25
Tyrell Wellick,Mr. Robot,67.25
Phillip Price,Mr. Robot,35.75
Darlene,Mr. Robot,117.75
Leon,Mr. Robot,10.75
Mr. Robot,Mr. Robot,98.25
Sharon Knowles,Mr. Robot,9
Gideon Goddard,Mr. Robot,25.75
Ray,Mr. Robot,22
