character,movie,time
Castor,THE HUNGER GAMES,0
Castor,CATCHING FIRE,0
Castor,MOCKINGJAY PART 1,3.25
Castor,MOCKINGJAY PART 2,6.75
Wiress,THE HUNGER GAMES,0
Wiress,CATCHING FIRE,3.25
Wiress,MOCKINGJAY PART 1,0
Wiress,MOCKINGJAY PART 2,0
Johanna Mason,THE HUNGER GAMES,0
Johanna Mason,CATCHING FIRE,7
Johanna Mason,MOCKINGJAY PART 1,0.25
Johanna Mason,MOCKINGJAY PART 2,3.75
Primrose Everdeen,THE HUNGER GAMES,4
Primrose Everdeen,CATCHING FIRE,2.25
Primrose Everdeen,MOCKINGJAY PART 1,4.25
Primrose Everdeen,MOCKINGJAY PART 2,2.25
Annie Cresta,THE HUNGER GAMES,0
Annie Cresta,CATCHING FIRE,0.25
Annie Cresta,MOCKINGJAY PART 1,0.5
Annie Cresta,MOCKINGJAY PART 2,1.25
Cressida,THE HUNGER GAMES,0
Cressida,CATCHING FIRE,0
Cressida,MOCKINGJAY PART 1,4.75
Cressida,MOCKINGJAY PART 2,11.5
President Alma Coin,THE HUNGER GAMES,0
President Alma Coin,CATCHING FIRE,0
President Alma Coin,MOCKINGJAY PART 1,13.5
President Alma Coin,MOCKINGJAY PART 2,7
Pollux,THE HUNGER GAMES,0
Pollux,CATCHING FIRE,0
Pollux,MOCKINGJAY PART 1,3.5
Pollux,MOCKINGJAY PART 2,10.75
Plutarch Heavensbee,THE HUNGER GAMES,0
Plutarch Heavensbee,CATCHING FIRE,6.25
Plutarch Heavensbee,MOCKINGJAY PART 1,9.25
Plutarch Heavensbee,MOCKINGJAY PART 2,3
Rue,THE HUNGER GAMES,5.25
Rue,CATCHING FIRE,0
Rue,MOCKINGJAY PART 1,0
Rue,MOCKINGJAY PART 2,0
President Snow,THE HUNGER GAMES,3.75
President Snow,CATCHING FIRE,8.75
President Snow,MOCKINGJAY PART 1,3
President Snow,MOCKINGJAY PART 2,6.25
Peeta Mellark,THE HUNGER GAMES,33.75
Peeta Mellark,CATCHING FIRE,37.5
Peeta Mellark,MOCKINGJAY PART 1,4.5
Peeta Mellark,MOCKINGJAY PART 2,23
Messalla,THE HUNGER GAMES,0
Messalla,CATCHING FIRE,0
Messalla,MOCKINGJAY PART 1,3
Messalla,MOCKINGJAY PART 2,7
Seneca Crane,THE HUNGER GAMES,4.5
Seneca Crane,CATCHING FIRE,0
Seneca Crane,MOCKINGJAY PART 1,0
Seneca Crane,MOCKINGJAY PART 2,0
Haymitch Abernathy,THE HUNGER GAMES,9
Haymitch Abernathy,CATCHING FIRE,12.5
Haymitch Abernathy,MOCKINGJAY PART 1,6
Haymitch Abernathy,MOCKINGJAY PART 2,8.75
Caesar Flickerman,THE HUNGER GAMES,7
Caesar Flickerman,CATCHING FIRE,6
Caesar Flickerman,MOCKINGJAY PART 1,1.25
Caesar Flickerman,MOCKINGJAY PART 2,0
Effie Trinket,THE HUNGER GAMES,4.75
Effie Trinket,CATCHING FIRE,7.5
Effie Trinket,MOCKINGJAY PART 1,5.25
Effie Trinket,MOCKINGJAY PART 2,2.25
Beetee,THE HUNGER GAMES,0
Beetee,CATCHING FIRE,5
Beetee,MOCKINGJAY PART 1,3.75
Beetee,MOCKINGJAY PART 2,1.25
Katniss&#x27; Mother,THE HUNGER GAMES,2
Katniss&#x27; Mother,CATCHING FIRE,1
Katniss&#x27; Mother,MOCKINGJAY PART 1,1.5
Katniss&#x27; Mother,MOCKINGJAY PART 2,0.75
Katniss Everdeen,THE HUNGER GAMES,82.5
Katniss Everdeen,CATCHING FIRE,87.25
Katniss Everdeen,MOCKINGJAY PART 1,66.25
Katniss Everdeen,MOCKINGJAY PART 2,75.75
Cinna,THE HUNGER GAMES,4.5
Cinna,CATCHING FIRE,3.5
Cinna,MOCKINGJAY PART 1,0
Cinna,MOCKINGJAY PART 2,0
Finnick Odair,THE HUNGER GAMES,0
Finnick Odair,CATCHING FIRE,16.75
Finnick Odair,MOCKINGJAY PART 1,4
Finnick Odair,MOCKINGJAY PART 2,6.25
Boggs,THE HUNGER GAMES,0
Boggs,CATCHING FIRE,0
Boggs,MOCKINGJAY PART 1,7
Boggs,MOCKINGJAY PART 2,9
Lieutenant Jackson,THE HUNGER GAMES,0
Lieutenant Jackson,CATCHING FIRE,0
Lieutenant Jackson,MOCKINGJAY PART 1,0
Lieutenant Jackson,MOCKINGJAY PART 2,8.75
Gale Hawthorne,THE HUNGER GAMES,3.75
Gale Hawthorne,CATCHING FIRE,8.5
Gale Hawthorne,MOCKINGJAY PART 1,18
Gale Hawthorne,MOCKINGJAY PART 2,22
