character,start,end
Cypher,48000,206000
Trinity,49000,206000
Big Cop,113000,206000
Agent Jones,136000,206000
Agent Brown,137000,206000
Agent Smith,137000,206000
Lieutenant,142000,206000
Trinity,206000,396000
Morpheus,209000,396000
Agent Brown,225000,396000
Agent Smith,235000,396000
Agent Jones,371000,396000
Neo,406000,583000
Morpheus,411000,583000
Choi,476000,583000
Dujour (White Rabbit Girl),489000,583000
Choi,592000,718000
Dujour (White Rabbit Girl),592000,718000
Neo,596000,718000
Trinity,608000,718000
Neo,720000,776000
Rhineheart,724000,776000
Neo,778000,1008000
FedEx Man,783000,1008000
Morpheus,817000,1008000
Agent Brown,851000,1008000
Agent Jones,851000,1008000
Agent Smith,851000,1008000
Cop,884000,1008000
Neo,1008000,1293000
Agent Brown,1008000,1293000
Agent Jones,1008000,1293000
Agent Smith,1008000,1293000
Trinity,1010000,1293000
Neo,1293000,1356000
Morpheus,1321000,1356000
Neo,1356000,1504000
Trinity,1365000,1504000
Apoc,1365000,1504000
Switch,1365000,1504000
Trinity,1512000,1945000
Neo,1515000,1945000
Morpheus,1544000,1945000
Cypher,1794000,1945000
Apoc,1798000,1945000
Switch,1800000,1945000
Neo,1945000,2122000
Trinity,2107000,2122000
Morpheus,2109000,2122000
Mouse,2110000,2122000
Tank,2113000,2122000
Dozer,2113000,2122000
Morpheus,2122000,2199000
Trinity,2126000,2199000
Neo,2132000,2199000
Dozer,2152000,2199000
Neo,2199000,2365000
Morpheus,2245000,2365000
Mouse,2283000,2365000
Switch,2296000,2365000
Trinity,2302000,2365000
Apoc,2306000,2365000
Cypher,2308000,2365000
Dozer,2312000,2365000
Tank,2313000,2365000
Neo,2365000,2664000
Morpheus,2370000,2664000
Trinity,2637000,2664000
Dozer,2638000,2664000
Cypher,2650000,2664000
Apoc,2650000,2664000
Tank,2650000,2664000
Mouse,2650000,2664000
Switch,2650000,2664000
Neo,2664000,2796000
Morpheus,2678000,2796000
Neo,2801000,2953000
Tank,2807000,2953000
Morpheus,2928000,2953000
Neo,2953000,3338000
Morpheus,2954000,3338000
Mouse,3028000,3338000
Cypher,3031000,3338000
Trinity,3031000,3338000
Apoc,3031000,3338000
Switch,3031000,3338000
Dozer,3031000,3338000
Tank,3066000,3338000
Trinity,3340000,3392000
Neo,3343000,3392000
Cypher,3363000,3392000
Morpheus,3396000,3541000
Neo,3400000,3541000
Woman in Red,3427000,3541000
Agent Smith,3438000,3541000
Morpheus,3551000,3669000
Dozer,3551000,3669000
Neo,3554000,3669000
Trinity,3555000,3669000
Cypher,3595000,3669000
Apoc,3595000,3669000
Tank,3595000,3669000
Mouse,3595000,3669000
Switch,3595000,3669000
Cypher,3671000,3822000
Neo,3677000,3822000
Cypher,3822000,3917000
Agent Smith,3824000,3917000
Cypher,3917000,4028000
Tank,3917000,4028000
Neo,3925000,4028000
Apoc,3925000,4028000
Mouse,3925000,4028000
Switch,3925000,4028000
Dozer,3925000,4028000
Trinity,3926000,4028000
Morpheus,4013000,4028000
Tank,4030000,4354000
Trinity,4039000,4354000
Neo,4043000,4354000
Cypher,4045000,4354000
Mouse,4048000,4354000
Switch,4049000,4354000
Morpheus,4052000,4354000
Apoc,4052000,4354000
Blind Man,4159000,4354000
Priestess,4241000,4354000
Potential,4261000,4354000
Potential,4262000,4354000
Potential,4271000,4354000
Potential,4274000,4354000
Potential,4274000,4354000
Spoon Boy,4285000,4354000
Neo,4354000,4669000
Oracle,4356000,4669000
Morpheus,4645000,4669000
Mouse,4669000,5046000
Woman in Red,4669000,5046000
Tank,4682000,5046000
Apoc,4684000,5046000
Switch,4684000,5046000
Morpheus,4695000,5046000
Trinity,4695000,5046000
Neo,4699000,5046000
Cypher,4699000,5046000
Agent Smith,4845000,5046000
Agent Brown,4849000,5046000
Morpheus,5046000,5106000
Agent Smith,5046000,5106000
Tank,5104000,5106000
Trinity,5106000,5488000
Tank,5109000,5488000
Cypher,5111000,5488000
Neo,5134000,5488000
Switch,5134000,5488000
Apoc,5145000,5488000
Dozer,5156000,5488000
Morpheus,5280000,5488000
Agent Jones,5495000,5845000
Agent Smith,5499000,5845000
Morpheus,5520000,5845000
Agent Brown,5548000,5845000
Neo,5612000,5845000
Trinity,5614000,5845000
Tank,5614000,5845000
Agent Smith,5845000,6065000
Morpheus,5850000,6065000
Tank,5923000,6065000
Neo,5927000,6065000
Trinity,5935000,6065000
Agent Brown,5951000,6065000
Agent Jones,5953000,6065000
Neo,6065000,6260000
Security Guard,6082000,6260000
Trinity,6106000,6260000
Agent Brown,6260000,6466000
Agent Jones,6260000,6466000
Morpheus,6263000,6466000
Agent Smith,6263000,6466000
Neo,6272000,6466000
Trinity,6273000,6466000
Tank,6444000,6466000
Agent Brown,6466000,6777000
Agent Jones,6466000,6777000
Agent Smith,6466000,6777000
Morpheus,6469000,6777000
Neo,6470000,6777000
Trinity,6471000,6777000
Tank,6690000,6777000
Neo,6777000,7130000
Morpheus,6777000,7130000
Trinity,6777000,7130000
Agent Smith,6801000,7130000
Tank,6859000,7130000
Morpheus,7130000,7348000
Tank,7130000,7348000
Trinity,7131000,7348000
Neo,7163000,7348000
Businessman,7163000,7348000
Agent Smith,7172000,7348000
Agent Jones,7186000,7348000
Agent Brown,7199000,7348000
Neo,7348000,7674000
Agent Smith,7357000,7674000
Trinity,7386000,7674000
Morpheus,7402000,7674000
Agent Brown,7405000,7674000
Agent Jones,7405000,7674000
Tank,7428000,7674000
Neo,7679000,7766000
